# generated from prices.runescape.wiki api v1 latest
# item_id,ge_price
2,264
6,191355
8,187773
10,169252
12,203565
28,434
30,890
36,239
39,4
40,5
41,23
42,34
43,126
44,264
45,36
46,10
47,67
48,4
50,17
52,1
53,10
54,12
56,30
58,69
60,36
62,109
64,94
66,269
68,195
70,1039
72,722
91,367
93,207
95,210
97,642
99,5871
101,2721
103,2622
105,3153
107,3401
109,2653
111,3998
113,82
115,76
117,32
119,134
121,9
123,16
125,221
127,83
129,6
131,24503
133,697
135,285
137,15
139,6119
141,4119
143,2128
145,2544
147,1857
149,835
151,20
153,91
155,515
157,2963
159,2125
161,951
163,2835
165,1856
167,925
169,1821
171,1199
173,659
175,145
177,87
179,65
181,1672
183,1133
185,512
187,297
189,648
191,223
193,150
197,1050
199,326
201,170
203,163
205,494
207,5566
209,2526
211,2396
213,2837
215,3117
217,2383
219,3571
221,2
223,194
225,301
227,4
229,3
231,496
233,74
235,292
237,218
239,350
241,73
243,17
245,954
247,377
249,343
251,219
253,208
255,523
257,5610
259,2657
261,2485
263,2901
265,3336
267,2381
269,3665
272,1087
273,635
288,739
299,1167
301,249
303,122
305,28
307,16
309,97
311,87
313,4
314,2
315,18
317,33
319,59
321,23
325,40
327,41
329,61
331,54
333,35
335,60
339,31
341,39
345,64
347,73
349,128
351,186
353,27
355,32
359,81
361,93
363,17
365,99
371,205
373,201
377,142
379,146
383,552
385,798
389,1463
391,1773
395,691
397,1150
401,5
403,45
405,1399
407,45
411,28
413,575
426,25
428,175
434,79
436,13
438,15
440,81
442,48
444,123
447,125
449,566
451,10298
453,182
464,254
526,33
528,430
530,371
532,326
534,624
536,2036
538,2378
540,13888
542,266
544,511
546,508
548,417
554,4
555,4
556,5
557,6
558,2
559,4
560,158
561,96
562,75
563,120
564,96
565,228
566,380
567,56
569,1079
571,748
573,1102
575,850
577,1439
579,557
581,1034
590,76
592,51
596,75
621,2134
626,673
628,696
630,1006
632,1160
634,428
636,600
638,900
640,1640
642,442
644,3154
646,173
648,518
650,328
652,376
654,1014
656,435
658,1001
660,562
662,1802
664,1999
751,28201
753,75
800,107
801,23
802,42
803,63
804,249
805,210
806,15
807,14
808,4
809,14
810,40
811,188
812,4016
813,55
814,754
815,324
816,56
817,175
819,32
820,43
821,75
822,121
823,217
824,1202
825,10
826,4
827,14
828,17
829,37
830,153
831,8
832,15
833,58
834,50
835,390
836,513
837,2238
839,34
841,69
843,43
845,53
847,166
849,86
851,311
853,187
855,473
857,379
859,1210
861,802
863,19
864,20
865,41
866,144
867,326
868,214
869,41
870,2527
871,12679
872,9000
873,455
874,150
875,301
876,552
877,3
878,104
879,43
880,32
881,53
882,5
883,74
884,8
885,27
886,17
887,126
888,17
889,1251
890,58
891,125
892,93
893,208
946,18
948,45
950,16
952,102
954,40
958,18
960,133
962,107129
970,72
973,154
975,647
981,15612
983,409
985,10968
987,13249
989,23943
991,4973
993,24135
1005,79
1007,92
1009,79
1011,158
1013,88
1015,100
1017,336
1019,297
1021,176
1023,215
1025,1
1027,255
1029,1108
1031,928
1033,3894
1035,732
1038,12923
1040,8281
1042,16437
1044,15500
1046,14453
1048,19000
1050,20929
1053,11130
1055,7000
1057,10531
1059,5
1061,44
1063,2
1065,1597
1067,78
1069,487
1071,1397
1073,3677
1075,16
1077,1350
1079,37944
1081,278
1083,384
1085,1531
1087,31
1089,2437
1091,3756
1093,38053
1095,4
1097,287
1099,2486
1101,101
1103,9
1105,287
1107,1456
1109,1347
1111,2558
1113,29596
1115,135
1117,10
1119,1105
1121,2828
1123,9661
1125,3713
1127,39330
1129,19
1131,9
1133,542
1135,4425
1137,8
1139,16
1141,93
1143,316
1145,904
1147,11105
1149,58806
1151,385
1153,106
1155,11
1157,279
1159,642
1161,2093
1163,20819
1165,511
1167,21
1169,40
1171,132
1173,40
1175,8
1177,244
1179,501
1181,890
1183,2090
1185,22912
1187,305498
1189,26
1191,110
1193,335
1195,2495
1197,1714
1199,3094
1201,32757
1203,42
1205,6
1207,16
1209,111
1211,399
1213,4818
1215,17568
1217,875
1219,287
1221,244
1223,5045
1225,46
1227,100000
1229,5003
1231,17484
1233,10
1237,167
1239,340
